Time,Speed,Location,County,State,Lat,Lon,Comments
1210,UNK,4 NW Osceola,Clarke,IA,41.07,-93.84,Report of tree down. Time estimated by radar. (DMX)
1215,UNK,3 W Dallas Center,Dallas,IA,41.69,-94.02,EST Time - Larger Tree top damage greater than 12 in diameter and sign damage. (DMX)
1215,UNK,Perry,Dallas,IA,41.84,-94.1,Received report of small tree down in Perry. Time estimated from radar. (DMX)
1225,UNK,2 NNE Grimes,Polk,IA,41.72,-93.77,Received report of tree down blocking IA-141. Time estimated from radar. (DMX)
1236,67,3 W Chariton,Lucas,IA,41.02,-93.36,Time estimated via radar. (DMX)
1249,62,2 ENE Lamoni,Decatur,IA,40.63,-93.9,Delayed entry - measured from KLWD. (DMX)
1253,72,2 S Ames,Story,IA,41.99,-93.62,Delayed entry - measured from KAMW. (DMX)
1257,61,2 SSW Knoxville,Marion,IA,41.3,-93.11,(DMX)
1315,65,Mercer,Mercer,MO,40.51,-93.53,Estimated 60 to 65 mph gusts in Mercer. (EAX)
1335,UNK,5 SSE Barnes City,Mahaska,IA,41.44,-92.44,Report of sheds down relayed from EMA. Time estimated by radar. (DMX)
1335,UNK,1 NW Deep River,Poweshiek,IA,41.59,-92.39,Report of shed down relayed by EMA. Time estimated from radar. (DMX)
1342,66,4 E Albion,Marshall,IA,42.11,-92.92,Delayed report - measured from KMIW. (DMX)
1351,UNK,Guernsey,Poweshiek,IA,41.65,-92.34,Pictures sent in from EM of limbs and branches down. Minor damage to a pavilion at the city park. Time estimated via radar. (DMX)
1438,63,Waterloo Regional Airpo,Black Hawk,IA,42.56,-92.4,Delayed report - measured at KALO ASOS. (DMX)
1610,UNK,2 S Onalaska,La Crosse,WI,43.86,-91.22,A number of trees and limbs down in La Crosse and Onalaska. Time estimated from radar. (ARX)
